%time SOC Ptotal Psensor1
0 0 0.665 0.7
10 0.799880103151 0.665 0.7
20 0.799746881568 0.665 0.7
30 0.799613657301 0.665 0.7
40 0.799480430352 0.665 0.7
50 0.799347200721 0.665 0.7
60 0.79921396841 0.665 0.7
70 0.799080733417 0.665 0.7
80 0.799052563416 0.0095 0.01
90 0.799050660069 0.0095 0.01
100 0.799048756722 0.0095 0.01
110 0.798941785885 0.665 0.7
120 0.79880854542 0.665 0.7
130 0.798675302277 0.665 0.7
140 0.798542056456 0.665 0.7
150 0.798408807959 0.665 0.7
160 0.798275556787 0.665 0.7
170 0.798142302939 0.665 0.7
180 0.798100993725 0.0095 0.01
190 0.798099090105 0.0095 0.01
200 0.798097186485 0.0095 0.01
210 0.798003335748 0.665 0.7
220 0.797870076437 0.665 0.7
230 0.797736814454 0.665 0.7
240 0.797603549798 0.665 0.7
250 0.79747028247 0.665 0.7
260 0.797337012471 0.665 0.7
270 0.797203739802 0.665 0.7
280 0.797149287647 0.0095 0.01
290 0.797147383755 0.0095 0.01
300 0.797145479862 0.0095 0.01
310 0.797064752989 0.665 0.7
320 0.796931474866 0.665 0.7
330 0.796798194075 0.665 0.7
340 0.796664910617 0.665 0.7
350 0.796531624491 0.665 0.7
360 0.796398335698 0.665 0.7
370 0.79626504424 0.665 0.7
380 0.796197445425 0.0095 0.01
390 0.79619554126 0.0095 0.01
400 0.796193637095 0.0095 0.01
410 0.796126037837 0.665 0.7
420 0.795992740934 0.665 0.7
430 0.795859441367 0.665 0.7
440 0.795726139136 0.665 0.7
450 0.795592834242 0.665 0.7
460 0.795459526685 0.665 0.7
470 0.795326216466 0.665 0.7
480 0.795245467279 0.0095 0.01
490 0.795243562843 0.0095 0.01
500 0.795241658406 0.0095 0.01
510 0.795187190504 0.665 0.7
520 0.795053874848 0.665 0.7
530 0.794920556533 0.665 0.7
540 0.794787235557 0.665 0.7
550 0.794653911922 0.665 0.7
560 0.794520585628 0.665 0.7
570 0.794387256676 0.665 0.7
580 0.794293353412 0.0095 0.01
590 0.794291448704 0.0095 0.01
600 0.794289543996 0.0095 0.01
610 0.794248211181 0.665 0.7
620 0.794114876799 0.665 0.7
630 0.79398153976 0.665 0.7
640 0.793848200065 0.665 0.7
650 0.793714857714 0.665 0.7
660 0.793581512707 0.665 0.7
670 0.793448165044 0.665 0.7
680 0.793341104004 0.0095 0.01
690 0.793339199025 0.0095 0.01
700 0.793337294046 0.0095 0.01
710 0.793309100041 0.665 0.7
720 0.793175746956 0.665 0.7
730 0.793042391217 0.665 0.7
740 0.792909032824 0.665 0.7
750 0.792775671778 0.665 0.7
760 0.792642308079 0.665 0.7
770 0.792508941728 0.665 0.7
780 0.792388719216 0.0095 0.01
790 0.792386813967 0.0095 0.01
800 0.792384908717 0.0095 0.01
810 0.792369857238 0.665 0.7
820 0.79223648547 0.665 0.7
830 0.79210311105 0.665 0.7
840 0.79196973398 0.665 0.7
850 0.791836354259 0.665 0.7
860 0.791702971887 0.665 0.7
870 0.791569586866 0.665 0.7
880 0.791436199195 0.0095 0.01
890 0.791434293672 0.0095 0.01
900 0.791432388152 0.0095 0.01
910 0.791430482631 0.665 0.7
920 0.791297092475 0.665 0.7
930 0.791163699392 0.665 0.7
940 0.79103030366 0.665 0.7
950 0.790896905281 0.665 0.7
960 0.790763504253 0.665 0.7
970 0.790630100577 0.665 0.7
980 0.790496694254 0.0095 0.01
990 0.790481638261 0.0095 0.01
1000 0.790479732471 0.0095 0.01
1010 0.79047782668 0.665 0.7
1020 0.790357568084 0.665 0.7
1030 0.790224156353 0.665 0.7
1040 0.790090741975 0.665 0.7
1050 0.789957324951 0.665 0.7
1060 0.78982390528 0.665 0.7
1070 0.789690482963 0.665 0.7
1080 0.789557058 0.665 0.7
1090 0.789528847839 0.0095 0.01
1100 0.789526941778 0.0095 0.01
1110 0.789525035718 0.0095 0.01
1120 0.789417912394 0.665 0.7
1130 0.789284482027 0.665 0.7
1140 0.789151049014 0.665 0.7
1150 0.789017613357 0.665 0.7
1160 0.788884175054 0.665 0.7
1170 0.788750734107 0.665 0.7
1180 0.788617290515 0.665 0.7
1190 0.788575922487 0.0095 0.01
1200 0.788574016157 0.0095 0.01
1210 0.788572109827 0.0095 0.01
1220 0.788478125483 0.665 0.7
1230 0.788344676489 0.665 0.7
1240 0.788211224851 0.665 0.7
