%time SOC Ptotal Psensor1 Ppv Ipv
0 0 0.665 0.7 0.4 0
10 0.799931388199 0.345 0.7 0.4 0.0914285714286
20 0.79986227478 0.345 0.7 0.4 0.0914285714286
30 0.799793160639 0.345 0.7 0.4 0.0914285714286
40 0.799724045775 0.345 0.7 0.4 0.0914285714286
50 0.799654930189 0.345 0.7 0.4 0.0914285714286
60 0.799585813881 0.345 0.7 0.4 0.0914285714286
70 0.799516696851 0.345 0.7 0.4 0.0914285714286
80 0.799502873358 0 0.01 0.4 0.0914285714286
90 0.799502873358 0 0.01 0.4 0.0914285714286
100 0.799502873358 0 0.01 0.4 0.0914285714286
110 0.799447579174 0.345 0.7 0.4 0.0914285714286
120 0.799378460701 0.345 0.7 0.4 0.0914285714286
130 0.799309341506 0.345 0.7 0.4 0.0914285714286
140 0.799240221589 0.345 0.7 0.4 0.0914285714286
150 0.799171100951 0.345 0.7 0.4 0.0914285714286
160 0.799101979592 0.345 0.7 0.4 0.0914285714286
170 0.799032857511 0.345 0.7 0.4 0.0914285714286
180 0.799012120746 0 0.01 0.4 0.0914285714286
190 0.799012120746 0 0.01 0.4 0.0914285714286
200 0.799012120746 0 0.01 0.4 0.0914285714286
210 0.798963734785 0.345 0.7 0.4 0.0914285714286
220 0.798894611262 0.345 0.7 0.4 0.0914285714286
230 0.798825487019 0.345 0.7 0.4 0.0914285714286
240 0.798756362055 0.345 0.7 0.4 0.0914285714286
250 0.79868723637 0.345 0.7 0.4 0.0914285714286
260 0.798618109964 0.345 0.7 0.4 0.0914285714286
270 0.798548982838 0.345 0.7 0.4 0.0914285714286
280 0.798521331786 0 0.01 0.4 0.0914285714286
290 0.798521331786 0 0.01 0.4 0.0914285714286
300 0.798521331786 0 0.01 0.4 0.0914285714286
310 0.798479855067 0.345 0.7 0.4 0.0914285714286
320 0.798410726501 0.345 0.7 0.4 0.0914285714286
330 0.798341597214 0.345 0.7 0.4 0.0914285714286
340 0.798272467207 0.345 0.7 0.4 0.0914285714286
350 0.79820333648 0.345 0.7 0.4 0.0914285714286
360 0.798134205033 0.345 0.7 0.4 0.0914285714286
370 0.798065072867 0.345 0.7 0.4 0.0914285714286
380 0.798030506514 0 0.01 0.4 0.0914285714286
390 0.798030506514 0 0.01 0.4 0.0914285714286
400 0.798030506514 0 0.01 0.4 0.0914285714286
410 0.797995940056 0.345 0.7 0.4 0.0914285714286
420 0.79792680645 0.345 0.7 0.4 0.0914285714286
430 0.797857672125 0.345 0.7 0.4 0.0914285714286
440 0.79778853708 0.345 0.7 0.4 0.0914285714286
450 0.797719401316 0.345 0.7 0.4 0.0914285714286
460 0.797650264833 0.345 0.7 0.4 0.0914285714286
470 0.797581127631 0.345 0.7 0.4 0.0914285714286
480 0.797539644964 0 0.01 0.4 0.0914285714286
490 0.797539644964 0 0.01 0.4 0.0914285714286
500 0.797539644964 0 0.01 0.4 0.0914285714286
510 0.797511989785 0.345 0.7 0.4 0.0914285714286
520 0.797442851145 0.345 0.7 0.4 0.0914285714286
530 0.797373711786 0.345 0.7 0.4 0.0914285714286
540 0.797304571708 0.345 0.7 0.4 0.0914285714286
550 0.797235430912 0.345 0.7 0.4 0.0914285714286
