%time SOC Ptotal Psensor1 Psensor2 Pmcu Prf Ppv Ipv
0 0 2.4275 2 0.15 0.15 0.15 0.4 0
10 0.799533493722 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
20 0.79912728619 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
30 0.798721099269 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
40 0.798314932975 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
50 0.797908787325 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
60 0.797845330971 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
70 0.797819952188 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
80 0.79779457615 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
90 0.797769202858 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
100 0.79774383231 2.3125 2 0.15 0.3 0.3 1 0.114285714286
110 0.797381364683 1.0285 2 0.01 0.01 0.01 1 0.285714285714
120 0.79709551663 1.0285 2 0.01 0.01 0.01 1 0.285714285714
130 0.796809688307 1.0285 2 0.01 0.01 0.01 1 0.285714285714
140 0.796523879717 1.0285 2 0.01 0.01 0.01 1 0.285714285714
150 0.796238090864 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
160 0.796295058523 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
170 0.79639009647 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
180 0.796485122422 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
190 0.796580136382 -0.8715 0.1 0.01 0.01 0.01 1 0.285714285714
200 0.796675138351 1.7125 2 0.15 0.3 0.3 1.4 0.285714285714
210 0.79640092276 0.6285 2 0.01 0.01 0.01 1.4 0.4
220 0.796195317298 0.6285 2 0.01 0.01 0.01 1.4 0.4
230 0.795989728511 0.6285 2 0.01 0.01 0.01 1.4 0.4
240 0.795784156398 0.6285 2 0.01 0.01 0.01 1.4 0.4
250 0.795578600961 -1.2715 0.1 0.01 0.01 0.01 1.4 0.4
