%time SOC Ptotal Psensor1 Ppv Ipv Psensor2 Pmcu Prf
0 0 1.779 1 0.4 0 0.8 0.01 0.01
10 0.799663366331 1.379 1 0.4 0.114285714286 0.8 0.01 0.01
20 0.79930713981 1.379 1 0.4 0.114285714286 0.8 0.01 0.01
30 0.798950934046 0.6285 1 0.4 0.114285714286 0.01 0.01 0.01
40 0.798730085233 1.719 0.01 0.4 0.114285714286 0.01 2.2 0.01
50 0.798327634998 1.719 0.01 0.4 0.114285714286 0.01 2.2 0.01
60 0.797903352996 1.719 0.01 0.4 0.114285714286 0.01 2.2 0.01
70 0.797479091419 1.719 0.01 0.4 0.114285714286 0.01 2.2 0.01
80 0.797054850283 1.529 0.01 0.4 0.114285714286 0.01 0.01 2
90 0.796892240361 -0.3615 0.01 0.4 0.114285714286 0.01 0.01 0.01
100 0.796885000833 1.379 1 1 0.114285714286 0.8 0.01 0.01
110 0.796660025175 0.779 1 1 0.285714285714 0.8 0.01 0.01
120 0.79642423441 0.779 1 1 0.285714285714 0.8 0.01 0.01
130 0.796188461697 0.0285 1 1 0.285714285714 0.01 0.01 0.01
140 0.79608809239 1.119 0.01 1 0.285714285714 0.01 2.2 0.01
150 0.795806051015 1.119 0.01 1 0.285714285714 0.01 2.2 0.01
160 0.795502170159 1.119 0.01 1 0.285714285714 0.01 2.2 0.01
170 0.79519830948 1.119 0.01 1 0.285714285714 0.01 2.2 0.01
180 0.794894468979 0.929 0.01 1 0.285714285714 0.01 0.01 2
190 0.794852330736 -0.9615 0.01 1 0.285714285714 0.01 0.01 0.01
200 0.794965591397 0.779 1 1.4 0.285714285714 0.8 0.01 0.01
210 0.794828973676 0.379 1 1.4 0.4 0.8 0.01 0.01
220 0.794673515136 0.379 1 1.4 0.4 0.8 0.01 0.01
230 0.794518070375 -0.3715 1 1.4 0.4 0.01 0.01 0.01
240 0.794498053904 0.719 0.01 1.4 0.4 0.01 2.2 0.01
250 0.794296320667 0.719 0.01 1.4 0.4 0.01 2.2 0.01
260 0.794072740918 0.719 0.01 1.4 0.4 0.01 2.2 0.01
270 0.793849178709 0.719 0.01 1.4 0.4 0.01 2.2 0.01
280 0.793625634042 0.529 0.01 1.4 0.4 0.01 0.01 2
290 0.793663829684 -1.3615 0.01 1.4 0.4 0.01 0.01 0.01
300 0.793857436759 0.379 1 1.8 0.4 0.8 0.01 0.01
310 0.793801120081 -0.021 1 1.8 0.514285714286 0.8 0.01 0.01
320 0.793725954042 -0.021 1 1.8 0.514285714286 0.8 0.01 0.01
330 0.793650795567 -0.7715 1 1.8 0.514285714286 0.01 0.01 0.01
340 0.793711072012 0.319 0.01 1.8 0.514285714286 0.01 2.2 0.01
350 0.793589606957 0.319 0.01 1.8 0.514285714286 0.01 2.2 0.01
360 0.793446289048 0.319 0.01 1.8 0.514285714286 0.01 2.2 0.01
370 0.793302984102 0.319 0.01 1.8 0.514285714286 0.01 2.2 0.01
380 0.793159692118 0.129 0.01 1.8 0.514285714286 0.01 0.01 2
390 0.793278145136 -1.7615 0.01 1.8 0.514285714286 0.01 0.01 0.01
400 0.79355200154 -0.021 1 0.8 0.514285714286 0.8 0.01 0.01
410 0.793351342204 0.979 1 0.8 0.228571428571 0.8 0.01 0.01
420 0.793075699039 0.979 1 0.8 0.228571428571 0.8 0.01 0.01
430 0.792800075362 0.2285 1 0.8 0.228571428571 0.01 0.01 0.01
440 0.792659927487 1.319 0.01 0.8 0.228571428571 0.01 2.2 0.01
450 0.79233801438 1.319 0.01 0.8 0.228571428571 0.01 2.2 0.01
460 0.791994250831 1.319 0.01 0.8 0.228571428571 0.01 2.2 0.01
470 0.791650508105 1.319 0.01 0.8 0.228571428571 0.01 2.2 0.01
480 0.791306786208 1.129 0.01 0.8 0.228571428571 0.01 0.01 2
490 0.791224911789 -0.7615 0.01 0.8 0.228571428571 0.01 0.01 0.01
500 0.791298527192 0.979 1 0.6 0.228571428571 0.8 0.01 0.01
510 0.791025844644 1.179 1 0.6 0.171428571429 0.8 0.01 0.01
520 0.790710245427 1.179 1 0.6 0.171428571429 0.8 0.01 0.01
530 0.790394666662 0.4285 1 0.6 0.171428571429 0.01 0.01 0.01
540 0.790214615543 1.519 0.01 0.6 0.171428571429 0.01 2.2 0.01
550 0.789852732512 1.519 0.01 0.6 0.171428571429 0.01 2.2 0.01
560 0.789468990835 1.519 0.01 0.6 0.171428571429 0.01 2.2 0.01
570 0.789085270152 1.519 0.01 0.6 0.171428571429 0.01 2.2 0.01
580 0.788701570464 1.329 0.01 0.6 0.171428571429 0.01 0.01 2
590 0.788579824302 -0.5615 0.01 0.6 0.171428571429 0.01 0.01 0.01
600 0.788613635435 1.179 1 1 0.171428571429 0.8 0.01 0.01
610 0.78839733357 0.779 1 1 0.285714285714 0.8 0.01 0.01
620 0.788162176514 0.779 1 1 0.285714285714 0.8 0.01 0.01
630 0.787927037517 0.0285 1 1 0.285714285714 0.01 0.01 0.01
640 0.78782746874 1.119 0.01 1 0.285714285714 0.01 2.2 0.01
650 0.787546004016 1.119 0.01 1 0.285714285714 0.01 2.2 0.01
660 0.787242672929 1.119 0.01 1 0.285714285714 0.01 2.2 0.01
670 0.786939362066 1.119 0.01 1 0.285714285714 0.01 2.2 0.01
680 0.786636071427 0.929 0.01 1 0.285714285714 0.01 0.01 2
690 0.786594804896 -0.9615 0.01 1 0.285714285714 0.01 0.01 0.01
700 0.786709128292 0.779 1 0.4 0.285714285714 0.8 0.01 0.01
710 0.786412683462 1.379 1 0.4 0.114285714286 0.8 0.01 0.01
720 0.786057234678 1.379 1 0.4 0.114285714286 0.8 0.01 0.01
730 0.785701806844 0.6285 1 0.4 0.114285714286 0.01 0.01 0.01
740 0.78548200394 1.719 0.01 0.4 0.114285714286 0.01 2.2 0.01
750 0.785080240361 1.719 0.01 0.4 0.114285714286 0.01 2.2 0.01
760 0.78465660205 1.719 0.01 0.4 0.114285714286 0.01 2.2 0.01
770 0.784232984424 1.719 0.01 0.4 0.114285714286 0.01 2.2 0.01
780 0.783809387482 1.529 0.01 0.4 0.114285714286 0.01 0.01 2
790 0.783647938344 -0.3615 0.01 0.4 0.114285714286 0.01 0.01 0.01
800 0.783642166161 1.379 1 0.8 0.114285714286 0.8 0.01 0.01
810 0.783386096737 0.979 1 0.8 0.228571428571 0.8 0.01 0.01
820 0.783111159223 0.979 1 0.8 0.228571428571 0.8 0.01 0.01
830 0.782836241189 0.2285 1 0.8 0.228571428571 0.01 0.01 0.01
840 0.782696999517 1.319 0.01 0.8 0.228571428571 0.01 2.2 0.01
850 0.78237572342 1.319 0.01 0.8 0.228571428571 0.01 2.2 0.01
860 0.78203256451 1.319 0.01 0.8 0.228571428571 0.01 2.2 0.01
870 0.781689426435 1.319 0.01 0.8 0.228571428571 0.01 2.2 0.01
880 0.781346309191 1.129 0.01 0.8 0.228571428571 0.01 0.01 2
890 0.781265426686 -0.7615 0.01 0.8 0.228571428571 0.01 0.01 0.01
900 0.781340263865 0.979 1 0.6 0.228571428571 0.8 0.01 0.01
910 0.781068290864 1.179 1 0.6 0.171428571429 0.8 0.01 0.01
920 0.780753337668 1.179 1 0.6 0.171428571429 0.8 0.01 0.01
930 0.780438404901 0.4285 1 0.6 0.171428571429 0.01 0.01 0.01
940 0.78025920005 1.519 0.01 0.6 0.171428571429 0.01 2.2 0.01
950 0.779897894449 1.519 0.01 0.6 0.171428571429 0.01 2.2 0.01
960 0.779514697834 1.519 0.01 0.6 0.171428571429 0.01 2.2 0.01
970 0.779131522176 1.519 0.01 0.6 0.171428571429 0.01 2.2 0.01
980 0.77874836747 1.329 0.01 0.6 0.171428571429 0.01 0.01 2
990 0.778627553215 -0.5615 0.01 0.6 0.171428571429 0.01 0.01 0.01
1000 0.778662525947 1.179 1 1.2 0.171428571429 0.8 0.01 0.01
1010 0.778479170618 0.579 1 1.2 0.342857142857 0.8 0.01 0.01
1020 0.778284969067 0.579 1 1.2 0.342857142857 0.8 0.01 0.01
1030 0.77809078358 -0.1715 1 1.2 0.342857142857 0.01 0.01 0.01
