%time SOC Ptotal Psensor1 Ppv Ipv
0 0 1 1 0.4 0
10 0.79980381853 0.6 1 0.4 0.114285714286
20 0.799603646747 0.6 1 0.4 0.114285714286
30 0.799403491344 -0.3 0.1 0.4 0.114285714286
40 0.799365624484 -0.3 0.1 0.4 0.114285714286
50 0.79934579055 -0.3 0.1 0.4 0.114285714286
60 0.799325958778 -0.3 0.1 0.4 0.114285714286
70 0.79930612917 -0.3 0.1 0.4 0.114285714286
80 0.799286301724 -0.3 0.1 0.4 0.114285714286
90 0.799266476442 -0.3 0.1 0.4 0.114285714286
100 0.799246653321 0.6 1 1 0.114285714286
110 0.799160722396 0 1 1 0.285714285714
120 0.79908080992 0 1 1 0.285714285714
130 0.799000905435 0 1 1 0.285714285714
140 0.79892100894 0 1 1 0.285714285714
150 0.798841120434 0 1 1 0.285714285714
160 0.798761239916 -0.9 0.1 1 0.285714285714
170 0.798843646808 -0.9 0.1 1 0.285714285714
180 0.798944072439 -0.9 0.1 1 0.285714285714
190 0.799044485297 -0.9 0.1 1 0.285714285714
200 0.799144885381 0 1 1.4 0.285714285714
210 0.799147111823 -0.4 1 1.4 0.4
220 0.79914733503 -0.4 1 1.4 0.4
230 0.799147558212 -1.3 0.1 1.4 0.4
240 0.799310045685 -1.3 0.1 1.4 0.4
250 0.799490537808 -1.3 0.1 1.4 0.4
260 0.799671004784 -1.3 0.1 1.4 0.4
270 0.799851446611 -1.3 0.1 1.4 0.4
280 0.80003186329 -1.3 0.1 1.4 0.4
290 0.800212254822 -1.3 0.1 1.4 0.4
300 0.800392621208 -0.4 1 1.8 0.4
310 0.800474823522 -0.8 1 1.8 0.514285714286
320 0.800555013213 -0.8 1 1.8 0.514285714286
330 0.800635192939 -0.8 1 1.8 0.514285714286
340 0.800715362701 -0.8 1 1.8 0.514285714286
350 0.8007955225 -0.8 1 1.8 0.514285714286
360 0.800875672336 -0.8 1 1.8 0.514285714286
370 0.800955812211 -0.8 1 1.8 0.514285714286
380 0.801035942125 -1.7 0.1 1.8 0.514285714286
390 0.80127827438 -1.7 0.1 1.8 0.514285714286
400 0.801538591137 -0.8 1 0.8 0.514285714286
410 0.801476459524 0.2 1 0.8 0.228571428571
420 0.801356261362 -0.7 0.1 0.8 0.228571428571
430 0.801398293032 -0.7 0.1 0.8 0.228571428571
440 0.801458342185 -0.7 0.1 0.8 0.228571428571
450 0.801518384056 -0.7 0.1 0.8 0.228571428571
460 0.801578418644 -0.7 0.1 0.8 0.228571428571
470 0.801638445951 -0.7 0.1 0.8 0.228571428571
